,ImageId,EncodedPixels
0,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
1,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
2,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
3,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
4,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
5,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
6,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
7,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
8,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
9,9f17aea854db13015d19b34cb2022cfdeda44133323fcd6bb3545f7b9404d8ab,214019 6 214530 13 215042 16 215554 17 216066 18 216577 19 217089 19 217601 20 218113 20 218625 20 219137 20 219649 20 220161 20 220673 20 221185 20 221697 20 222209 20 222721 19 223233 19 223745 19 224257 19 224769 19 225281 18 225793 17 226305 17 226818 15 227330 14 227842 14 228354 13 228866 12 229378 11 229890 11 230402 10 230914 9 231426 7 231938 6 232451 4
